Models,Linear DTSM,,Linear DTSM+MEV,,DeepHit,,DeepHit+MEV,,3LSTM,,3LSTM+MEV
vintage,AUC,,AUC,,AUC,,AUC,,AUC,,AUC
2004 Q1,0.610149192,,0.658967487,,0.829191541,,0.799724389,,0.979973027,,0.975346342
2004 Q2,0.747367873,,0.717759051,,0.654130254,,0.747721598,,0.953974199,,0.952600916
2004 Q3,0.689362757,,0.760809433,,0.56546271,,0.603675479,,0.949758933,,0.948978435
2004 Q4,0.634408602,,0.695852535,,0.58218126,,0.604568685,,0.935995904,,0.923195084
2005 Q1,0.812623513,,0.841570881,,0.755968945,,0.770395427,,0.950670498,,0.984870942
2005 Q2,0.873579629,,0.873579629,,0.904326923,,0.931928195,,0.964423077,,0.959156552
2005 Q3,0.834347465,,0.824343464,,0.915534646,,0.89535076,,0.989333277,,0.993657838
2005 Q4,0.718995706,,0.708212407,,0.73066588,,0.755239205,,0.920203589,,0.931976075
2006 Q1,0.604214618,,0.597429458,,0.748952286,,0.750938016,,0.966850447,,0.967040989
2006 Q2,0.657287311,,0.641543644,,0.818813417,,0.754605722,,0.978153233,,0.983478933
2006 Q3,0.746440241,,0.731818497,,0.776560252,,0.82610278,,0.938713356,,0.944543656
2006 Q4,0.516794027,,0.562337298,,0.599067605,,0.702403311,,0.920830112,,0.921364235
2007 Q1,0.508048294,,0.554762906,,0.685121642,,0.758658732,,0.940561011,,0.933890927
2007 Q2,0.517541739,,0.560670547,,0.692253773,,0.779505853,,0.95840927,,0.946218076
2007 Q3,0.622533094,,0.618568304,,0.696758077,,0.820837589,,0.954789062,,0.958251265
2007 Q4,0.507190853,,0.52377279,,0.610785166,,0.820491086,,0.894794433,,0.897155673
2008 Q1,0.666109038,,0.669182066,,0.751063286,,0.848335563,,0.924752636,,0.927752975
2008 Q2,0.621839205,,0.62326851,,0.67698216,,0.66151943,,0.891095964,,0.89540082
2008 Q3,0.690755571,,0.692347978,,0.70983081,,0.75343813,,0.916354046,,0.910365008
2008 Q4,0.707961963,,0.717672659,,0.779719711,,0.898167022,,0.970978867,,0.975465447
2009 Q1,0.769230769,,0.903436624,,0.695512821,,0.704386954,,0.975961538,,1
2009 Q2,0.73019802,,0.727722772,,0.542079208,,0.73679868,,0.943894389,,0.930693069
2009 Q3,0.997695853,,0.997695853,,1,,1,,1,,0.995391705
2009 Q4,0.883603155,,0.894257645,,0.936847931,,0.972616577,,0.987062405,,0.99238965
2010 Q1,0.551362023,,0.569231327,,0.866101572,,0.920625951,,0.989111063,,0.990290444
2010 Q2,0.633293472,,0.687287773,,0.816569227,,0.961566569,,0.986657366,,0.970206986
2010 Q3,0.610837438,,0.70771757,,0.596059113,,0.825944171,,0.873563218,,0.983579639
2010 Q4,0.969512195,,0.987804878,,0.993902439,,1,,1,,1
2011 Q1,0.641843972,,0.664539007,,0.817730496,,0.985815603,,0.995744681,,0.99929078
2011 Q2,0.581802497,,0.63519355,,0.683948177,,0.924825899,,0.922708451,,0.925465437
2011 Q3,0.94418239,,0.948899371,,0.948899371,,0.982704403,,0.970125786,,1
2011 Q4,0.905723906,,0.927609428,,0.994949495,,1,,1,,1
2012 Q1,0.552894212,,0.730538922,,0.822355289,,0.952095808,,0.94011976,,0.934131737
2012 Q2,0.795959596,,0.777777778,,0.535353535,,0.925252525,,0.935230352,,0.933333333
2012 Q3,0.916666667,,0.997807018,,1,,1,,1,,1
2012 Q4,0.822377622,,0.881118881,,0.872727273,,0.839160839,,0.976689977,,0.981763409
2013 Q1,0.596491228,,0.649122807,,0.824561404,,0.872390865,,0.894736842,,0.920345646
2013 Q2,0.992063492,,0.984126984,,1,,1,,1,,1
2013 Q3,1,,1,,1,,1,,1,,1
2013 Q4,0.827411168,,0.948129252,,0.969543147,,0.965684359,,1,,1
2014 Q1,0.984210526,,0.986842105,,0.989473684,,0.98756828,,1,,1
2014 Q2,0.8575,,0.8775,,0.9675,,0.974034432,,1,,0.970066172
2014 Q3,0.768361582,,0.779661017,,0.850282486,,0.907785323,,0.898305085,,0.934589781
2014 Q4,0.539473684,,0.644736842,,0.668421053,,0.823456645,,0.939473684,,0.947457877
2015 Q1,0.942857143,,0.96,,0.965714286,,0.972589806,,0.997142857,,0.998045972
2015 Q2,0.571428571,,0.849162011,,0.649350649,,0.783268896,,0.915584416,,0.943489579
2015 Q3,0.590909091,,0.843575419,,0.87150838,,0.903458678,,0.988826816,,0.991806242
2015 Q4,0.512698713,,0.57512441,,0.714573536,,0.834528694,,0.991556986,,0.993268024
