Models,3LSTM,,unbalanced 3LSTM
vintage,AUC,,AUC
2016 Q1,0.947236181,,0.889447236
2016 Q2,0.953757225,,0.947976879
2016 Q3,0.895833333,,0.880952381
2016 Q4,0.833687763,,0.505933614
2017 Q1,0.815884445,,0.733317497
2017 Q2,0.939315147,,0.550522214
2017 Q3,0.921702128,,0.789787234
2017 Q4,0.960388679,,0.808442461
2018 Q1,0.906723188,,0.893041849
2018 Q2,0.829241461,,0.813398865
2018 Q3,0.91495756,,0.650927498
2018 Q4,0.892753213,,0.747206797
2019 Q1,0.870621243,,0.705107686
2019 Q2,0.858958352,,0.656358926
2019 Q3,0.841511936,,0.54918214
2019 Q4,0.881273412,,0.586881724
2020 Q1,0.900084602,,0.608460237
2020 Q2,0.934796778,,0.684657498
2020 Q3,0.975468975,,0.884559885
2020 Q4,0.914798206,,0.865470852
2021 Q1,0.998616874,,0.980636238
2021 Q2,0.897255297,,0.908365476
2021 Q3,0.943466242,,0.470572443
2021 Q4,0.99785292,,0.427163503
2022 Q1,0.940310353,,0.708656124
2022 Q2,0.87561056,,0.92685545
2022 Q3,0.791871265,,0.872262525
2022 Q4,0.83777821,,0.645435697
2023 Q1,0.927667984,,0.749802372
2023 Q2,0.832300885,,0.765486726
2023 Q3,0.923780488,,0.550304878
2023 Q4,0.852703278,,0.798637718
2024 Q1,0.867482161,,0.737512742
2024 Q2,0.892883436,,0.740030675
