Models,Linear DTSM,,GAM,,Cox PH,,Weibull,,DeepHit,,3LSTM
vintage,Brier Score,,Brier Score,,Brier Score,,Brier Score,,Brier Score,,Brier Score
2004 Q1,0.000497764,,0.00049709,,0.000500697,,0.000501041,,0.000496698,,0.000433474
2004 Q2,0.000503894,,0.000503606,,0.00050515,,0.000505741,,0.000503916,,0.000476786
2004 Q3,0.000464828,,0.00046407,,0.000467847,,0.000468005,,0.000465163,,0.000433441
2004 Q4,0.00049825,,0.00049791,,0.000502075,,0.00050191,,0.000496826,,0.000453524
2005 Q1,0.000540253,,0.000539964,,0.000543251,,0.000543229,,0.000538983,,0.0004955
2005 Q2,0.00053787,,0.000537889,,0.000539588,,0.00053795,,0.000537618,,0.000493477
2005 Q3,0.00057485,,0.000575127,,0.00057812,,0.000578632,,0.000575337,,0.000488147
2005 Q4,0.000684235,,0.000684552,,0.000687204,,0.000687373,,0.000685217,,0.000622545
2006 Q1,0.000794633,,0.000794476,,0.00079983,,0.00080039,,0.000794806,,0.000705274
2006 Q2,0.000780631,,0.000779896,,0.000786989,,0.000787452,,0.000780536,,0.000703412
2006 Q3,0.000831048,,0.000830727,,0.000834374,,0.000834567,,0.000832514,,0.000766654
2006 Q4,0.000934516,,0.000934638,,0.000937641,,0.000937963,,0.000934718,,0.000833342
2007 Q1,0.000868496,,0.000869813,,0.000874886,,0.000875119,,0.000869504,,0.000794808
2007 Q2,0.001009965,,0.001010208,,0.001015556,,0.00101405,,0.001009666,,0.000920943
2007 Q3,0.001082842,,0.001083011,,0.001086287,,0.001087255,,0.001082507,,0.000942487
2007 Q4,0.001186022,,0.00118617,,0.001186658,,0.001187409,,0.001186421,,0.001095676
2008 Q1,0.00080625,,0.000807857,,0.000811112,,0.000811648,,0.000805284,,0.000725959
2008 Q2,0.000861,,0.0008633,,0.000871737,,0.00087111,,0.000864338,,0.000785952
2008 Q3,0.000869176,,0.000869697,,0.000875992,,0.000876832,,0.000871354,,0.000763002
2008 Q4,0.000750508,,0.000750905,,0.000751721,,0.000752242,,0.000750554,,0.000653908
2009 Q1,0.00016484,,0.00016487,,0.000164667,,0.00016526,,0.00016508,,0.000164066
2009 Q2,0.000175829,,0.000175848,,0.000175874,,0.000176436,,0.00017589,,0.000172436
2009 Q3,0.000225668,,0.000225543,,0.000226125,,0.000226349,,0.000225977,,0.000189535
2009 Q4,0.000207718,,0.000207748,,0.000208042,,0.000208463,,0.000207697,,0.000184037
2010 Q1,0.000226224,,0.000226241,,0.000226213,,0.00022677,,0.000226376,,0.000217121
2010 Q2,0.000241755,,0.000241767,,0.000242065,,0.000242503,,0.000241625,,0.000218327
2010 Q3,0.000142394,,0.000142404,,0.000142451,,0.00014309,,0.000142767,,0.000141877
2010 Q4,8.18E-05,,8.20E-05,,8.20E-05,,8.27E-05,,8.19E-05,,7.40E-05
2011 Q1,0.000140331,,0.000140309,,0.000140642,,0.000141294,,0.000140019,,0.000123923
2011 Q2,0.000153407,,0.000153314,,0.000154708,,0.000155327,,0.000150902,,0.00013516
2011 Q3,0.00013568,,0.00013556,,0.000136535,,0.00013726,,0.000134101,,0.000113743
2011 Q4,6.84E-05,,6.84E-05,,0.000204017,,0.00020473,,6.74E-05,,4.57E-05
2012 Q1,7.81E-05,,7.81E-05,,7.81E-05,,7.89E-05,,7.81E-05,,7.89E-05
2012 Q2,0.000147931,,0.000147856,,0.000148673,,0.000149425,,0.00014658,,0.000140649
2012 Q3,7.08E-05,,7.08E-05,,7.10E-05,,7.19E-05,,7.05E-05,,4.58E-05
2012 Q4,7.28E-05,,7.28E-05,,7.28E-05,,7.37E-05,,7.28E-05,,7.35E-05
2013 Q1,9.99E-05,,0.000100255,,0.000100268,,0.000101126,,1.00E-04,,9.98E-05
2013 Q2,8.85E-05,,8.87E-05,,8.90E-05,,8.98E-05,,8.62E-05,,6.39E-05
2013 Q3,8.36E-05,,8.36E-05,,8.39E-05,,8.46E-05,,8.41E-05,,7.50E-05
2013 Q4,0.000148154,,0.00014884,,0.000150121,,0.000150752,,0.000146781,,0.000128378
2014 Q1,0.00015717,,0.000157307,,0.00015959,,0.000160166,,0.000154486,,0.000126604
2014 Q2,0.000245783,,0.000245771,,0.000246458,,0.000246841,,0.000244308,,0.000200426
2014 Q3,0.000179651,,0.000180243,,0.000180719,,0.000181229,,0.000178069,,0.000159206
2014 Q4,0.000164026,,0.00016401,,0.000164038,,0.000164447,,0.000164471,,0.000163478
2015 Q1,0.000247329,,0.000247516,,0.000250473,,0.000251038,,0.000244087,,0.00022054
2015 Q2,0.000190257,,0.000190329,,0.000190703,,0.000191114,,0.000189497,,0.000184949
2015 Q3,0.000175542,,0.000175503,,0.000175804,,0.000176172,,0.000175244,,0.000170692
2015 Q4,0.000269672,,0.000269667,,0.000270505,,0.000270949,,0.000270262,,0.000258848
