Models,3LSTM,,unbalanced 3LSTM,
vintage,LLR_DTSM,Pseudo-R-Square,LLR_DTSM,Pseudo-R-Square
2016 Q1,0.001432251,0.39073118,0.002178634,0.073225175
2016 Q2,0.001362187,0.242776657,0.001794881,0.00224735
2016 Q3,0.001015297,0.4178406,0.001674089,0.040096603
2016 Q4,0.001638325,0.326842905,0.002363439,0.028907115
2017 Q1,0.002405387,0.497781662,0.003690088,0.229550276
2017 Q2,0.00262617,0.330083653,0.00375603,0.041864692
2017 Q3,0.002434621,0.412301753,0.004131257,0.002747204
2017 Q4,0.002504455,0.455806974,0.004348857,0.055036845
2018 Q1,0.002536449,0.417699085,0.003966712,0.089348816
2018 Q2,0.002680857,0.388725739,0.004343361,0.009650686
2018 Q3,0.00301468,0.404344685,0.004960611,0.01985822
2018 Q4,0.003697002,0.321438805,0.005954212,-0.092857641
2019 Q1,0.003889086,0.326708183,0.006212127,-0.075464752
2019 Q2,0.004000169,0.390257738,0.006408894,0.023097877
2019 Q3,0.002881965,0.430604907,0.004838687,0.044011888
2019 Q4,0.003208347,0.405188313,0.004940773,0.084005103
2020 Q1,0.003642163,0.412587661,0.006035659,0.026561757
2020 Q2,0.000713803,0.323700908,0.0009487,0.101144627
2020 Q3,0.000579961,0.432445265,0.00093294,0.087017102
2020 Q4,0.000680034,0.355092593,0.000927205,0.120689107
2021 Q1,0.00051536,0.506558272,0.000899314,0.138933514
2021 Q2,0.001158042,0.357016459,0.001737768,0.035132828
2021 Q3,0.001174584,0.342288098,0.00174064,0.025323533
2021 Q4,0.000727669,0.581678472,0.001470333,0.154736248
2022 Q1,0.001109138,0.351590554,0.001634229,0.044619145
2022 Q2,0.001375091,0.39402234,0.001874757,0.173828872
2022 Q3,0.002777982,0.359575351,0.003340347,0.229930097
2022 Q4,0.002844834,0.363996908,0.004168811,0.068002876
2023 Q1,0.002336631,0.40899772,0.003135631,0.206907367
2023 Q2,0.002097345,0.365615922,0.003116734,0.057281107
2023 Q3,0.00179796,0.306277433,0.002818468,-0.087473883
2023 Q4,0.002522052,0.070776766,0.002910808,-0.072456104
2024 Q1,0.001902416,0.054976227,0.002455361,-0.219698646
2024 Q2,0.001907935,0.084322461,0.00288854,-0.386299586
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
vintage,LLR_baseline,,,
2016 Q1,0.002350769,,,
2016 Q2,0.001798924,,,
2016 Q3,0.001744018,,,
2016 Q4,0.002433793,,,
2017 Q1,0.004789525,,,
2017 Q2,0.003920146,,,
2017 Q3,0.004142638,,,
2017 Q4,0.004602144,,,
2018 Q1,0.004355907,,,
2018 Q2,0.004385686,,,
2018 Q3,0.005061116,,,
2018 Q4,0.005448296,,,
2019 Q1,0.005776226,,,
2019 Q2,0.006560426,,,
2019 Q3,0.005061451,,,
2019 Q4,0.005393887,,,
2020 Q1,0.006200351,,,
2020 Q2,0.001055454,,,
2020 Q3,0.001021859,,,
2020 Q4,0.001054468,,,
2021 Q1,0.001044419,,,
2021 Q2,0.001801044,,,
2021 Q3,0.001785864,,,
2021 Q4,0.001739496,,,
2022 Q1,0.001710552,,,
2022 Q2,0.002269211,,,
2022 Q3,0.004337719,,,
2022 Q4,0.004472987,,,
2023 Q1,0.003953675,,,
2023 Q2,0.003306112,,,
2023 Q3,0.002591757,,,
2023 Q4,0.002714151,,,
2024 Q1,0.002013088,,,
2024 Q2,0.002083633,,,
